School Number,School Name,Lattitude,Longitude
1578,CHERRY VALLEY ELEMENTARY SCHOOL,39.228607,-104.699544
1579,NORTH STAR ACADEMY,39.537385,-104.796821
1582,CHEYENNE MOUNTAIN CHARTER ACADEMY,38.807971,-104.819065
1586,CHEYENNE MOUNTAIN ELEMENTARY SCHOOL,38.75937,-104.825449
1588,CHEYENNE MOUNTAIN JUNIOR HIGH SCHOOL,38.798929,-104.849647
1590,CHEYENNE MOUNTAIN HIGH SCHOOL,38.807456,-104.858712
1592,BROADMOOR ELEMENTARY SCHOOL,38.788801,-104.835507
1596,CANON ELEMENTARY SCHOOL,38.798913,-104.849631
1604,SKYWAY PARK ELEMENTARY SCHOOL,38.805619,-104.848971
1607,CENTENNIAL BOCES HIGH SCHOOL,40.405735,-104.768324
1608,CHEYENNE WELLS ELEMENTARY SCHOOL,38.823573,-102.354327
1610,CHEYENNE WELLS MIDDLE SCHOOL,38.823573,-102.354327
1612,CHEYENNE WELLS HIGH SCHOOL,38.823036,-102.353154
1613,CHIPETA ELEMENTARY SCHOOL,38.906205,-104.871495
1614,CIMARRON ELEMENTARY SCHOOL,39.648045,-104.784862
1615,CHINOOK TRAIL ELEMENTARY SCHOOL,38.973333,-104.735962
1616,CIVA CHARTER ACADEMY,38.899424,-104.826722
1618,EVANS INTERNATIONAL ELEMENTARY SCHOOL,38.856123,-104.695541
1619,CHIPETA ELEMENTARY SCHOOL,39.072358,-108.55679
1622,CLARA E. METZ ELEMENTARY SCHOOL,39.843938,-105.014552
1625,MCAULIFFE ELEMENTARY,38.842923,-104.708364
1627,THE CLASSICAL ACADEMY CHARTER,39.018032,-104.810646
1629,THE CLASSICAL ACADEMY MIDDLE SCHOOL,39.018032,-104.810646
1630,THE CLASSICAL ACADEMY HIGH SCHOOL,39.018032,-104.810646
1632,GILPIN COUNTY ELEMENTARY SCHOOL,39.831809,-105.520389
1634,GILPIN COUNTY UNDIVIDED HIGH SCHOOL,39.831809,-105.520389
1652,CLAYTON ELEMENTARY SCHOOL,39.632923,-104.994883
1660,CLEAR CREEK MIDDLE SCHOOL,39.718608,-105.408076
1666,CLEAR LAKE MIDDLE SCHOOL,39.839112,-105.010153
1686,CLIFTON ELEMENTARY SCHOOL,39.091788,-108.445122
1720,CLYDE MILLER K-8,39.744948,-104.757646
1725,COAL CREEK ELEMENTARY SCHOOL,39.982266,-105.157205
1730,COAL CREEK CANYON K-8 ELEMENTARY SCHOOL,39.905027,-105.360142
1752,COLORADO VIRTUAL ACADEMY (COVA),39.913537,-104.984174
1774,COLFAX ELEMENTARY SCHOOL,39.740967,-105.044026
1780,COLORADO HIGH SCHOOL OF GREELEY,40.420828,-104.723314
1781,COLORADO ONLINE ACADEMY (COLA),37.374788,-102.448527
1785,COLE ARTS AND SCIENCE ACADEMY,39.7636,-104.969624
1788,COLLEGE VIEW ELEMENTARY SCHOOL,39.668794,-105.022761
1790,COLOROW ELEMENTARY SCHOOL,39.601416,-105.096038
1791,COLORADO SPRINGS CHARTER ACADEMY,38.870077,-104.772366
1795,COLORADO SPRINGS EARLY COLLEGES,38.895118,-104.835751
1796,COLORADO CONNECTIONS ACADEMY,39.566987,-104.862282
1798,COLUMBIA ELEMENTARY SCHOOL,38.840478,-104.809437
1799,CAMERON SCHOOL,40.416704,-104.699895
1800,COLUMBIA MIDDLE SCHOOL,39.661158,-104.78329
1812,LAS ANIMAS ELEMENTARY SCHOOL,38.067202,-103.231891
1816,COLUMBIAN ELEMENTARY SCHOOL,39.772035,-105.023588
1828,COLUMBIAN ELEMENTARY SCHOOL,38.245717,-104.63115
1842,COLUMBINE ELEMENTARY SCHOOL,40.031825,-105.270685
1844,COLUMBINE ELEMENTARY SCHOOL,40.170642,-105.095075
1846,COLUMBINE ELEMENTARY SCHOOL,39.758212,-104.956798
1850,COLUMBINE ELEMENTARY SCHOOL,40.257068,-103.810864
1861,COLUMBINE HILLS ELEMENTARY SCHOOL,39.575178,-105.062954
1864,COLUMBINE HIGH SCHOOL,39.605108,-105.072628
1869,COMPASS MONTESSORI - WHEAT RIDGE CHARTER SCHOOL,39.778186,-105.114096
1870,CORONADO HIGH SCHOOL,38.870789,-104.857851
1872,COMMUNITY TRANSITION HOUSE,38.240255,-104.618415
1873,CORE KNOWLEDGE CHARTER SCHOOL,39.51831,-104.753679
1875,FRONTIER CHARTER ACADEMY,40.391176,-104.721362
1876,CORONADO ELEMENTARY SCHOOL,39.572883,-105.092476
1877,COLORADO PROVOST ACADEMY,39.623884,-104.898469
1878,CORONADO HILLS ELEMENTARY SCHOOL,39.846473,-104.971958
1880,COMPASS MONTESSORI - GOLDEN CHARTER SCHOOL,39.774675,-105.18895
1882,COMMUNITY LEADERSHIP ACADEMY,39.822587,-104.922161
1883,COMMUNITY MONTESSORI SCHOOL,39.982811,-105.25185
1886,CONIFER SENIOR HIGH SCHOOL,39.527192,-105.30887
1887,CONNECTIONS ACADEMY,39.654365,-104.993564
1888,CORTEZ MIDDLE SCHOOL,37.346433,-108.591228
1889,CORRIDOR COMMUNITY ACADEMY,39.758412,-104.425421
1899,COPPER MESA ELEMENTARY SCHOOL,39.517962,-104.948003
1901,COLORADO CALVERT ACADEMY,39.741267,-104.982344
1908,CORY ELEMENTARY SCHOOL,39.688395,-104.950026
1914,COTTON CREEK ELEMENTARY SCHOOL,39.859268,-105.045081
